time,open,high,low,close,tick_volume,real_volume
2021-09-16 08:00:00,113880.0,114500.0,113705.0,114350.0,881423,2782657
2021-09-16 09:00:00,114355.0,114655.0,114025.0,114295.0,591747,1962775
2021-09-16 10:00:00,114295.0,114310.0,113860.0,114175.0,430582,1447924
2021-09-16 11:00:00,114175.0,114580.0,113960.0,114385.0,404351,1417920
2021-09-16 12:00:00,114390.0,114675.0,114050.0,114185.0,462630,1689656
2021-09-16 13:00:00,114185.0,114455.0,113825.0,114340.0,441270,1630575
2021-09-16 14:00:00,114340.0,114615.0,114045.0,114410.0,243103,764140
2021-09-17 06:00:00,113780.0,114145.0,113555.0,114035.0,735157,2207863
2021-09-17 07:00:00,114035.0,114115.0,112415.0,112535.0,1071174,3650268
2021-09-17 08:00:00,112535.0,112600.0,111655.0,111750.0,780049,2837651
2021-09-17 09:00:00,111745.0,112060.0,111575.0,111865.0,532825,1901741
2021-09-17 10:00:00,111860.0,111955.0,111425.0,111680.0,494542,1868043
2021-09-17 11:00:00,111685.0,111985.0,111530.0,111730.0,469633,1663168
2021-09-17 12:00:00,111725.0,112210.0,111690.0,112060.0,461820,1784897
2021-09-17 13:00:00,112065.0,112195.0,111560.0,111775.0,549209,2055746
2021-09-17 14:00:00,111770.0,111800.0,111205.0,111205.0,258746,818764
2021-09-20 06:00:00,109205.0,109385.0,108725.0,109340.0,793142,2382744
2021-09-20 07:00:00,109335.0,110165.0,108920.0,109185.0,1358708,4296879
2021-09-20 08:00:00,109185.0,109475.0,108610.0,108705.0,979975,3202223
2021-09-20 09:00:00,108710.0,108895.0,107925.0,108155.0,689932,2470295
2021-09-20 10:00:00,108160.0,108310.0,107825.0,107940.0,611998,2159220
2021-09-20 11:00:00,107940.0,108635.0,107800.0,108350.0,578589,2048823
2021-09-20 12:00:00,108345.0,108425.0,107875.0,108020.0,609710,2234676
2021-09-20 13:00:00,108025.0,109220.0,107950.0,109110.0,649647,2403165
2021-09-20 14:00:00,109105.0,109775.0,108915.0,109710.0,338274,1060888
2021-09-21 06:00:00,110600.0,110875.0,109745.0,109855.0,838979,2489191
2021-09-21 07:00:00,109860.0,110135.0,109175.0,110040.0,1366803,4550861
2021-09-21 08:00:00,110040.0,110320.0,109330.0,109635.0,1100784,3587244
2021-09-21 09:00:00,109640.0,110710.0,109450.0,110620.0,796061,2636945
2021-09-21 10:00:00,110625.0,111160.0,110605.0,110755.0,621541,2233259
2021-09-21 11:00:00,110750.0,111190.0,110665.0,110940.0,600697,2109276
2021-09-21 12:00:00,110940.0,111085.0,110350.0,110755.0,580961,2178886
2021-09-21 13:00:00,110755.0,110965.0,110365.0,110385.0,558130,2047564
2021-09-21 14:00:00,110380.0,110625.0,109955.0,110240.0,347809,1141988
2021-09-22 06:00:00,111500.0,112460.0,111500.0,111990.0,748736,2252112
2021-09-22 07:00:00,111995.0,112695.0,111910.0,112525.0,943956,3079921
2021-09-22 08:00:00,112525.0,112810.0,112060.0,112195.0,742646,2545601
2021-09-22 09:00:00,112195.0,113165.0,112115.0,113010.0,636152,2295649
2021-09-22 10:00:00,113010.0,113135.0,112785.0,112940.0,405935,1416104
2021-09-22 11:00:00,112940.0,113250.0,112750.0,113075.0,469332,1757781
2021-09-22 12:00:00,113070.0,113605.0,112170.0,112690.0,924898,3289300
2021-09-22 13:00:00,112685.0,113280.0,112485.0,112560.0,616449,2259934
2021-09-22 14:00:00,112560.0,112725.0,112270.0,112435.0,270476,912174
2021-09-23 06:00:00,112895.0,113395.0,112770.0,112975.0,629688,1889397
2021-09-23 07:00:00,112970.0,113945.0,112670.0,113805.0,1200258,3898861
2021-09-23 08:00:00,113800.0,114015.0,113510.0,113880.0,767448,2525224
2021-09-23 09:00:00,113880.0,114460.0,113585.0,114440.0,635180,2239010
2021-09-23 10:00:00,114435.0,114575.0,114225.0,114265.0,490588,1751394
2021-09-23 11:00:00,114265.0,114640.0,114185.0,114445.0,454944,1637591
2021-09-23 12:00:00,114445.0,114465.0,113950.0,114145.0,427064,1596750
2021-09-23 13:00:00,114140.0,114255.0,113925.0,114240.0,389213,1436454
2021-09-23 14:00:00,114240.0,114400.0,114010.0,114010.0,258830,816184
2021-09-24 06:00:00,113265.0,113495.0,112990.0,113190.0,690938,2013176
2021-09-24 07:00:00,113195.0,113690.0,112805.0,113255.0,1069216,3371427
2021-09-24 08:00:00,113255.0,113595.0,112685.0,112790.0,898024,2940085
2021-09-24 09:00:00,112795.0,113445.0,112655.0,113375.0,558406,1949567
